Reaction identifier	Equation	Enzyme class	Enzymes
RHEA:21396	(S)-methylmalonyl-CoA + Na(+)(in) + H(+)(out) = propanoyl-CoA + Na(+)(out) + CO2	EC:7.2.4.3 (S)-methylmalonyl-CoA decarboxylase (sodium-transporting)	9
RHEA:21668	sn-glycerol 3-phosphate(out) + ATP + H2O = sn-glycerol 3-phosphate(in) + ADP + phosphate + H(+)	EC:7.6.2.10 ABC-type glycerol 3-phosphate transporter	72
RHEA:22020	molybdate(out) + ATP + H2O = molybdate(in) + ADP + phosphate + H(+)	EC:7.3.2.5 ABC-type molybdate transporter	75
RHEA:22044	K(+)(out) + ATP + H2O + H(+)(in) = K(+)(in) + ADP + phosphate + 2 H(+)(out)	EC:7.2.2.19 H(+)/K(+)-exchanging ATPase	488
RHEA:22132	D-maltose(out) + ATP + H2O = D-maltose(in) + ADP + phosphate + H(+)	EC:7.5.2.1 ABC-type maltose transporter	27
RHEA:22148	2 oxidized [plastocyanin] + a plastoquinol + 2 H(+)(in) = 2 reduced [plastocyanin] + a plastoquinone + 4 H(+)(out)	EC:7.1.1.6 plastoquinol--plastocyanin reductase	1573
RHEA:23120	a dipeptide(out) + ATP + H2O = a dipeptide(in) + ADP + phosphate + H(+)	EC:7.4.2.9 ABC-type dipeptide transporter	12453
RHEA:23972	(2E)-glutaconyl-CoA + Na(+)(in) + H(+) = (2E)-butenoyl-CoA + Na(+)(out) + CO2	EC:7.2.4.5 glutaconyl-CoA decarboxylase	4
RHEA:24440	phosphate(out) + ATP + H2O = ADP + 2 phosphate(in) + H(+)	EC:7.3.2.1 ABC-type phosphate transporter	381
RHEA:25792	Cu(+)(in) + ATP + H2O = Cu(+)(out) + ADP + phosphate + H(+)	EC:7.2.2.8 P-type Cu(+) transporter	22847
RHEA:27814	acetate(in) + Na(+)(in) = acetate(out) + Na(+)(out)		0
RHEA:27926	UMP(in) = UMP(out)		0
RHEA:27950	L-phenylalanine(in) = L-phenylalanine(out)		2681
RHEA:28446	1-deoxy-D-xylulose(in) = 1-deoxy-D-xylulose(out)		0
RHEA:28450	N(6)-(D-psicosyl)-L-lysine(in) = N(6)-(D-psicosyl)-L-lysine(out)		92
RHEA:28454	N(6)-(D-fructosyl)-L-lysine(in) = N(6)-(D-fructosyl)-L-lysine(out)		92
RHEA:28458	biotin(in) = biotin(out)		5
RHEA:28462	pyridoxal(in) = pyridoxal(out)		0
RHEA:28466	pyridoxamine(in) = pyridoxamine(out)		0
RHEA:28470	pyridoxine(in) = pyridoxine(out)		0
RHEA:28474	D-glucarate(in) + H(+)(in) = D-glucarate(out) + H(+)(out)		5
RHEA:28478	galactarate(in) + H(+)(in) = galactarate(out) + H(+)(out)		5
RHEA:28486	Fe(2+)(in) = Fe(2+)(out)		17488
RHEA:28490	K(+)(in) + H(+)(in) = K(+)(out) + H(+)(out)		15631
RHEA:28574	sulfate(in) + H(+)(in) = sulfate(out) + H(+)(out)		685
RHEA:28578	Co(2+)(in) = Co(2+)(out)		1450
RHEA:28695	hydrogencarbonate(in) = hydrogencarbonate(out)		2498
RHEA:28699	Mn(2+)(in) = Mn(2+)(out)		2793
RHEA:28703	Cu(2+)(in) = Cu(2+)(out)		10
RHEA:28707	Cd(2+)(in) = Cd(2+)(out)		5
